iter	Passed	Remaining
585	9560	6754
586	9577	6738
587	9593	6722
588	9608	6704
589	9624	6688
590	9641	6672
591	9657	6656
592	9674	6639
593	9691	6623
594	9706	6607
595	9723	6591
596	9741	6575
597	9758	6559
598	9774	6543
599	9789	6526
600	9806	6510
601	9822	6493
602	9839	6477
603	9855	6461
604	9873	6446
605	9888	6429
606	9905	6413
607	9920	6396
608	9936	6379
609	9952	6363
610	9970	6347
611	9986	6331
612	10004	6315
613	10020	6299
614	10036	6283
615	10051	6265
616	10069	6250
617	10085	6233
618	10101	6217
619	10116	6200
620	10133	6184
621	10150	6168
622	10166	6152
623	10182	6135
624	10199	6119
625	10215	6103
626	10231	6086
627	10248	6070
628	10265	6054
629	10281	6038
630	10299	6022
631	10315	6006
632	10332	5990
633	10349	5974
634	10364	5957
635	10380	5941
636	10397	5925
637	10413	5908
638	10429	5892
639	10445	5875
640	10461	5858
641	10478	5843
642	10495	5827
643	10511	5810
644	10528	5794
645	10545	5778
646	10560	5761
647	10577	5745
648	10594	5730
649	10610	5713
650	10628	5697
651	10645	5681
652	10660	5664
653	10676	5648
654	10693	5632
655	10710	5616
656	10727	5600
657	10743	5584
658	10759	5567
659	10775	5551
660	10792	5534
661	10808	5518
662	10825	5502
663	10840	5485
664	10856	5469
665	10872	5452
666	10889	5436
667	10906	5420
668	10924	5405
669	10940	5388
670	10956	5372
671	10972	5355
672	10990	5339
673	11006	5323
674	11023	5307
675	11039	5291
676	11055	5274
677	11071	5258
678	11089	5242
679	11106	5226
680	11124	5210
681	11140	5194
682	11155	5177
683	11171	5160
684	11188	5145
685	11204	5128
686	11221	5112
687	11237	5096
688	11252	5079
689	11268	5062
690	11284	5046
691	11301	5030
692	11318	5014
693	11334	4997
694	11349	4980
695	11365	4964
696	11383	4948
697	11399	4932
698	11417	4916
699	11434	4900
700	11450	4884
701	11465	4867
702	11484	4852
703	11501	4836
704	11517	4819
705	11533	4803
706	11549	4786
707	11565	4769
708	11582	4754
709	11598	4737
710	11615	4721
711	11631	4704
712	11647	4688
713	11663	4671
714	11680	4655
715	11697	4639
716	11713	4623
717	11730	4607
718	11747	4591
719	11763	4574
720	11780	4558
721	11797	4542
722	11813	4525
723	11829	4509
724	11844	4492
725	11860	4476
726	11879	4460
727	11895	4444
728	11912	4428
729	11928	4412
730	11944	4395
731	11961	4379
732	11977	4362
733	11994	4346
734	12010	4330
735	12026	4314
736	12042	4297
737	12058	4280
738	12076	4265
739	12092	4248
740	12110	4232
741	12125	4216
742	12141	4199
743	12157	4183
744	12175	4167
745	12191	4151
746	12208	4134
747	12223	4118
748	12239	4101
749	12255	4085
750	12274	4069
751	12290	4053
752	12306	4036
753	12322	4020
754	12339	4004
755	12355	3987
756	12371	3971
757	12388	3955
758	12405	3939
759	12421	3922
760	12437	3906
761	12454	3889
762	12472	3874
763	12488	3857
764	12504	3841
765	12520	3824
766	12536	3808
767	12551	3791
768	12569	3775
769	12585	3759
770	12601	3742
771	12618	3726
772	12634	3710
773	12650	3693
774	12668	3678
775	12685	3661
776	12701	3645
777	12717	3628
778	12733	3612
779	12750	3596
780	12767	3580
781	12783	3563
782	12800	3547
783	12816	3531
784	12832	3514
785	12848	3498
786	12865	3482
787	12882	3465
788	12898	3449
789	12916	3433
790	12930	3416
791	12945	3399
792	12963	3383
793	12980	3367
794	12997	3351
795	13013	3335
796	13029	3318
797	13045	3302
798	13064	3286
799	13080	3270
800	13097	3253
801	13113	3237
802	13128	3220
803	13144	3204
804	13162	3188
805	13178	3171
806	13195	3155
807	13212	3139
808	13228	3123
809	13244	3106
810	13260	3090
811	13277	3074
812	13293	3057
813	13309	3041
814	13325	3024
815	13342	3008
816	13359	2992
817	13375	2976
818	13391	2959
819	13408	2943
820	13424	2926
821	13440	2910
822	13457	2894
823	13474	2877
824	13490	2861
825	13506	2845
826	13523	2828
827	13539	2812
828	13555	2796
829	13572	2779
830	13589	2763
831	13607	2747
832	13623	2731
833	13639	2714
834	13656	2698
835	13672	2682
836	13690	2666
837	13705	2649
838	13720	2632
839	13736	2616
840	13753	2600
841	13770	2583
842	13786	2567
843	13803	2551
844	13820	2535
845	13835	2518
846	13853	2502
847	13870	2486
848	13887	2469
849	13903	2453
850	13919	2437
851	13935	2420
852	13953	2404
853	13969	2388
854	13985	2371
855	14000	2355
856	14016	2338
857	14032	2322
858	14049	2306
859	14065	2289
860	14082	2273
861	14096	2256
862	14114	2240
863	14130	2224
864	14147	2208
865	14163	2191
866	14181	2175
867	14197	2159
868	14214	2142
869	14229	2126
870	14247	2110
871	14265	2093
872	14281	2077
873	14296	2061
874	14313	2044
875	14329	2028
876	14347	2012
877	14361	1995
878	14378	1979
879	14393	1962
880	14410	1946
881	14426	1930
882	14443	1913
883	14460	1897
884	14477	1881
885	14493	1864
886	14511	1848
887	14527	1832
888	14543	1815
889	14559	1799
890	14578	1783
891	14593	1766
892	14609	1750
893	14624	1734
894	14641	1717
895	14657	1701
896	14675	1685
897	14689	1668
898	14707	1652
899	14723	1635
900	14740	1619
901	14757	1603
902	14774	1587
903	14789	1570
904	14807	1554
905	14822	1537
906	14840	1521
907	14855	1505
908	14872	1488
909	14887	1472
910	14905	1456
911	14920	1439
912	14938	1423
913	14954	1407
914	14972	1390
915	14986	1374
916	15002	1357
917	15018	1341
918	15036	1325
919	15053	1308
920	15071	1292
921	15087	1276
922	15104	1260
923	15120	1243
924	15137	1227
925	15153	1210
926	15170	1194
927	15184	1178
928	15201	1161
929	15216	1145
930	15234	1129
931	15250	1112
932	15267	1096
933	15282	1079
934	15300	1063
935	15315	1047
936	15333	1030
937	15349	1014
938	15366	998
939	15382	981
940	15399	965
941	15415	949
942	15432	932
943	15450	916
944	15467	900
945	15481	883
946	15498	867
947	15514	851
948	15532	834
949	15547	818
950	15564	801
951	15579	785
952	15597	769
953	15612	752
954	15628	736
955	15645	720
956	15661	703
957	15675	687
958	15692	670
959	15710	654
960	15728	638
961	15743	621
962	15761	605
963	15776	589
964	15794	572
965	15808	556
966	15825	540
967	15841	523
968	15859	507
969	15874	490
970	15891	474
971	15908	458
972	15924	441
973	15941	425
974	15958	409
975	15974	392
976	15992	376
977	16007	360
978	16024	343
979	16040	327
980	16057	311
981	16072	294
982	16090	278
983	16106	261
984	16124	245
985	16140	229
986	16157	212
987	16173	196
988	16190	180
989	16205	163
990	16222	147
991	16238	130
992	16256	114
993	16271	98
994	16288	81
995	16304	65
996	16320	49
997	16336	32
998	16353	16
999	16368	0
